2023-04-25 14:12:33.926 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.0.Final
2023-04-25 14:12:33.986 [main] INFO  top.om1ga.ServerApplication - Starting ServerApplication using Java 17.0.1 with PID 36844 (D:\JavaPrograme\api-boot\api-server\target\classes started by 84508 in D:\JavaPrograme\api-boot)
2023-04-25 14:12:33.987 [main] INFO  top.om1ga.ServerApplication - The following 1 profile is active: "dev"
2023-04-25 14:12:35.000 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2023-04-25 14:12:35.004 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-04-25 14:12:35.052 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 32 ms. Found 0 Redis repository interfaces.
2023-04-25 14:12:35.804 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-04-25 14:12:35.815 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-04-25 14:12:35.816 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-04-25 14:12:35.816 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.7]
2023-04-25 14:12:35.983 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-04-25 14:12:35.984 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1952 ms
2023-04-25 14:12:38.335 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@434a8938, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@237cd264, org.springframework.security.web.context.SecurityContextHolderFilter@191b44ca, org.springframework.security.web.header.HeaderWriterFilter@5f0ca069, org.springframework.security.web.authentication.logout.LogoutFilter@1c9975a8, top.om1ga.security.filter.AuthenticationTokenFilter@58cda03f, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@2c4cf7eb, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@35260785, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@51cd2d2, org.springframework.security.web.session.SessionManagementFilter@53b2e1eb, org.springframework.security.web.access.ExceptionTranslationFilter@57ed02e6, org.springframework.security.web.access.intercept.AuthorizationFilter@18ff1520]
2023-04-25 14:12:38.720 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
